name,cmc,color_identity,type_line,rarity,power,toughness,keywords,set_type,oracle_text_length,year_released,is_reprint,is_reserved,num_colors,is_creature,is_legendary,card_age_days,edhrec_rank
Razorgrass Screen,1.0,,Artifact Creature — Wall,common,2,1,Defender,expansion,84,2004,False,False,0,True,False,6816,20458
Selvala's Enforcer,4.0,G,Creature — Elf Warrior,common,2,2,Parley,draft_innovation,222,2014,False,False,1,True,False,3162,17029
Social Climber,3.0,G,Creature — Human Druid,common,3,2,Alliance,expansion,96,2022,False,False,1,True,False,278,8847
Blood Pact,3.0,B,Instant,common,,,,expansion,47,2021,False,False,1,False,False,495,3034
Glimmer Bairn,1.0,G,Creature — Ouphe,common,1,2,,draft_innovation,62,2021,False,False,1,True,False,593,11600
Call for Blood,5.0,B,Instant — Arcane,common,,,,expansion,153,2005,False,False,1,False,False,6571,21623
Mardu Hateblade,1.0,"B,W",Creature — Human Warrior,common,1,1,,expansion,127,2014,False,False,2,True,False,3050,19807
Steadfast Guard,2.0,W,Creature — Human Rebel,common,2,2,Vigilance,core,57,2007,True,False,1,True,False,5682,19516
Prized Griffin,5.0,W,Creature — Griffin,common,3,4,Flying,expansion,6,2019,False,False,1,True,False,1216,20434
Hungry Flames,3.0,R,Instant,common,,,,draft_innovation,94,2020,True,False,1,False,False,929,14931
Apathy,1.0,U,Enchantment — Aura,common,,,Enchant,expansion,235,1997,False,False,1,False,False,9368,18201
Forced Worship,2.0,W,Enchantment — Aura,common,,,Enchant,draft_innovation,100,2020,True,False,1,False,False,929,15797
Thornscape Apprentice,1.0,"G,R,W",Creature — Human Wizard,common,1,1,,duel_deck,94,2010,True,False,3,True,False,4702,22861
Ninja of the Deep Hours,4.0,U,Creature — Human Ninja,common,2,2,Ninjutsu,commander,234,2018,True,False,1,True,False,1637,2363
Holy Strength,1.0,W,Enchantment — Aura,common,,,Enchant,core,47,2010,True,False,1,False,False,4583,15838
Darksteel Pendant,2.0,,Artifact,common,,,"Indestructible,Scry",expansion,183,2004,False,False,0,False,False,6935,8619
Argothian Pixies,2.0,G,Creature — Faerie,common,2,1,,masters,138,2011,True,False,1,True,False,4405,23211
Kozilek's Shrieker,3.0,B,Creature — Eldrazi Drone,common,3,2,Devoid,expansion,189,2016,False,False,1,True,False,2567,20371
Ringwarden Owl,5.0,U,Creature — Bird,common,3,3,"Flying,Prowess",core,174,2015,False,False,1,True,False,2756,21793
Instill Infection,4.0,B,Instant,common,,,,masters,52,2015,True,False,1,False,False,2812,16244
Guard Duty,1.0,W,Enchantment — Aura,common,,,Enchant,masters,49,2017,True,False,1,False,False,1902,17439
Ground Rift,1.0,R,Sorcery,common,,,Storm,expansion,179,2006,False,False,1,False,False,5962,10662
Phyrexian Denouncer,2.0,B,Creature — Phyrexian Carrier,common,1,1,,duel_deck,81,2010,True,False,1,True,False,4702,21642
Funeral Rites,3.0,B,Sorcery,common,,,Mill,draft_innovation,53,2020,True,False,1,False,False,929,5485
Desert Cerodon,6.0,R,Creature — Beast,common,6,4,Cycling,expansion,50,2017,False,False,1,True,False,2105,13123
Liliana's Shade,4.0,B,Creature — Shade,common,1,1,,core,189,2012,False,False,1,True,False,3855,12312
Eye of Nowhere,2.0,U,Sorcery — Arcane,common,,,,expansion,44,2004,False,False,1,False,False,6697,13857
Glacial Wall,3.0,U,Creature — Wall,common,0,7,Defender,masters,38,2016,True,False,1,True,False,2427,6739
Assassinate,3.0,B,Sorcery,common,,,,masters,31,2021,True,False,1,False,False,684,12237
Reflex Sliver,4.0,G,Creature — Sliver,common,2,2,,masters,32,2021,True,False,1,True,False,684,8448
Thraben Sentry // Thraben Militia,4.0,W,Creature — Human Soldier // Creature — Human Soldier,common,,,"Vigilance,Transform,Trample",expansion,0,2011,False,False,1,True,False,4142,19731
Bitter Revelation,4.0,B,Sorcery,common,,,,draft_innovation,125,2020,True,False,1,False,False,803,9947
Crown of Fury,2.0,R,Enchantment — Aura,common,,,Enchant,expansion,218,2002,False,False,1,False,False,7422,17272
Rimrock Knight // Boulder Rush,2.0,R,Creature — Dwarf Knight // Instant — Adventure,common,3,1,,expansion,0,2019,False,False,1,True,False,1216,9085
Moss Monster,5.0,G,Creature — Elemental,common,3,6,,core,0,2003,True,False,1,True,False,7128,22381
Sparkmage's Gambit,2.0,R,Sorcery,common,,,,masters,111,2022,True,False,1,False,False,208,17267
Flood,1.0,U,Enchantment,common,,,,core,43,1997,True,False,1,False,False,9445,15341
Clockwork Swarm,4.0,,Artifact Creature — Insect,common,0,3,,masters,410,2011,True,False,0,True,False,4405,21628
Grazing Kelpie,4.0,"G,U",Creature — Beast,common,2,3,Persist,expansion,256,2008,False,False,2,True,False,5304,18516
Hooded Assassin,3.0,B,Creature — Human Assassin,common,1,2,,expansion,158,2015,False,False,1,True,False,2931,13979
Aven of Enduring Hope,5.0,W,Creature — Bird Cleric,common,3,3,Flying,expansion,74,2017,False,False,1,True,False,2028,20896
Rendclaw Trow,3.0,"B,G",Creature — Troll,common,2,2,"Persist,Wither",expansion,223,2008,False,False,2,True,False,5304,13139
Furtive Homunculus,2.0,U,Creature — Homunculus,common,2,1,Skulk,expansion,71,2016,False,False,1,True,False,2490,20602
Tiamat's Fanatics,5.0,R,Creature — Dragon Warrior,common,4,3,"Haste,Myriad",draft_innovation,254,2022,False,False,1,True,False,236,8622
Mardu Scout,2.0,R,Creature — Goblin Scout,common,3,1,Dash,expansion,181,2015,False,False,1,True,False,2931,14015
Sensory Deprivation,1.0,U,Enchantment — Aura,common,,,Enchant,core,47,2013,True,False,1,False,False,3484,23187
Glint Hawk,1.0,W,Creature — Bird,common,2,2,Flying,expansion,122,2010,False,False,1,True,False,4506,11815
Divination,3.0,U,Sorcery,common,,,,core,15,2018,True,False,1,False,False,1664,4396
Aerie Bowmasters,4.0,G,Creature — Dog Archer,common,3,4,"Reach,Megamorph",expansion,212,2015,False,False,1,True,False,2868,18562
Zuran Enchanter,2.0,"B,U",Creature — Human Wizard,common,1,1,,expansion,75,1995,False,False,2,True,False,10105,23576
Stone Haven Medic,2.0,W,Creature — Kor Cleric,common,1,3,,expansion,26,2015,False,False,1,True,False,2679,19791
Deadly Alliance,5.0,B,Instant,common,,,,expansion,186,2020,False,False,1,False,False,859,8550
Defiant Strike,1.0,W,Instant,common,,,,core,58,2020,True,False,1,False,False,943,3368
Storm Crow,2.0,U,Creature — Bird,common,1,2,Flying,core,81,2005,True,False,1,True,False,6396,13970
Knight of New Benalia,2.0,W,Creature — Human Knight,common,3,1,,expansion,0,2018,False,False,1,True,False,1741,15749
Silt Crawler,3.0,G,Creature — Beast,common,3,3,,expansion,68,2000,False,False,1,True,False,8276,21481
Sleep of the Dead,1.0,U,Sorcery,common,,,Escape,expansion,204,2020,False,False,1,False,False,1104,15609
Wanderer's Strike,5.0,W,Sorcery,common,,,Proliferate,expansion,149,2019,False,False,1,False,False,1370,8854
Mothrider Patrol,1.0,W,Creature — Fox Warrior,common,1,1,Flying,expansion,40,2022,False,False,1,True,False,348,12633
Explorer's Scope,1.0,,Artifact — Equipment,common,,,Equip,commander,219,2021,True,False,0,False,False,558,1655
Shiny Impetus,3.0,R,Enchantment — Aura,common,,,"Goad,Enchant",draft_innovation,288,2022,True,False,1,False,False,236,1167
Crimson Fleet Commodore,4.0,R,Creature — Ogre Pirate,common,5,2,Trample,draft_innovation,84,2020,False,False,1,True,False,803,7248
Puncturing Light,2.0,W,Instant,common,,,,expansion,67,2016,True,False,1,False,False,2490,20527
Map the Wastes,3.0,G,Sorcery,common,,,Bolster,expansion,207,2015,False,False,1,False,False,2931,9416
Avenging Hunter,5.0,G,Creature — Dragon Ranger,common,5,4,Trample,draft_innovation,77,2022,False,False,1,True,False,236,10814
Krosan Wayfarer,1.0,G,Creature — Human Druid,common,1,1,,expansion,87,2002,False,False,1,True,False,7555,9282
Into the Roil,2.0,U,Instant,common,,,Kicker,draft_innovation,164,2020,True,False,1,False,False,803,1851
Gloom Sower,7.0,B,Creature — Horror,common,8,6,,core,112,2020,False,False,1,True,False,943,13792
Brightstone Ritual,1.0,R,Instant,common,,,,expansion,43,2002,False,False,1,False,False,7422,2208
Treefolk Mystic,4.0,G,Creature — Treefolk,common,2,4,,expansion,110,1999,False,False,1,True,False,8752,21237
Betrayal,1.0,U,Enchantment — Aura,common,,,Enchant,expansion,98,1997,False,False,1,False,False,9494,10592
Dark Temper,3.0,R,Instant,common,,,,expansion,110,2009,False,False,1,False,False,5108,20393
Natural Spring,5.0,G,Sorcery,common,,,,core,27,2007,True,False,1,False,False,5682,21442
Splendid Agony,3.0,B,Instant,common,,,,expansion,64,2017,False,False,1,False,False,2105,9105
Rusted Slasher,4.0,,Artifact Creature — Phyrexian Horror,common,4,1,,expansion,49,2011,False,False,0,True,False,4380,17016
Sliver Construct,3.0,,Artifact Creature — Sliver Construct,common,2,2,,core,0,2013,False,False,0,True,False,3484,16834
Unexpected Windfall,4.0,R,Instant,common,,,,expansion,188,2021,False,False,1,False,False,558,547
Havoc Devils,4.0,R,Creature — Devil,common,4,3,Trample,core,99,2018,False,False,1,True,False,1664,16270
Sporeback Wolf,2.0,G,Creature — Wolf,common,2,2,,expansion,53,2021,False,False,1,True,False,439,15679
Rathi Intimidator,3.0,B,Creature — Phyrexian Horror Mercenary,common,2,1,Fear,expansion,221,2000,False,False,1,True,False,8388,17651
Quag Vampires,1.0,B,Creature — Vampire Rogue,common,1,1,"Landwalk,Swampwalk,Multikicker",draft_innovation,279,2014,True,False,1,True,False,3162,11313
Contempt,2.0,U,Enchantment — Aura,common,,,Enchant,expansion,113,1998,False,False,1,False,False,9102,19738
Shimmering Grotto,0.0,,Land,common,,,,masters,50,2017,True,False,0,False,False,1902,7191
Font of Ire,2.0,R,Enchantment,common,,,,expansion,82,2014,False,False,1,False,False,3197,22193
Benalish Hero,1.0,W,Creature — Human Soldier,common,1,1,Banding,masters,326,2007,True,False,1,True,False,5623,16718
Seal of Fire,1.0,R,Enchantment,common,,,,duel_deck,56,2014,True,False,1,False,False,2980,13479
Comparative Analysis,4.0,U,Instant,common,,,Surge,expansion,143,2016,False,False,1,False,False,2567,14728
Frontier Mastodon,3.0,G,Creature — Elephant,common,3,2,Ferocious,expansion,130,2015,False,False,1,True,False,2931,16461
Devouring Deep,3.0,U,Creature — Fish,common,1,2,"Landwalk,Islandwalk",expansion,91,1994,False,False,1,True,False,10472,22789
Rishadan Airship,3.0,U,Creature — Human Pirate,common,3,1,Flying,draft_innovation,61,2020,True,False,1,True,False,929,17228
Wandering Wolf,2.0,G,Creature — Wolf,common,2,1,,draft_innovation,69,2018,True,False,1,True,False,1699,13695
Adarkar Sentinel,5.0,,Artifact Creature — Soldier,common,3,3,,masters,51,2008,True,False,0,True,False,5245,23619
Deny Existence,3.0,U,Instant,common,,,,expansion,126,2016,False,False,1,False,False,2490,14284
Knighted Myr,3.0,W,Artifact Creature — Myr Knight,common,2,2,Adapt,draft_innovation,194,2021,False,False,1,True,False,593,10112
Encampment Keeper,1.0,W,Creature — Dog,common,1,1,First strike,expansion,105,2017,False,False,1,True,False,1951,16206
Landscaper Colos,6.0,W,Creature — Goat Beast,common,4,6,"Landcycling,Basic landcycling,Typecycling",draft_innovation,267,2021,False,False,1,True,False,593,15763
Sinew Dancer,1.0,W,Creature — Phyrexian Soldier,common,1,1,Corrupted,expansion,140,2023,False,False,1,True,False,-2,18147
Soul-Guide Gryff,5.0,W,Creature — Hippogriff Spirit,common,3,4,Flying,expansion,98,2021,False,False,1,True,False,495,20103
Minotaur Warrior,3.0,R,Creature — Minotaur Warrior,common,2,3,,starter,0,1997,False,False,1,True,False,9407,23379
Agent of Horizons,3.0,"G,U",Creature — Human Rogue,common,3,2,,expansion,53,2013,False,False,2,True,False,3414,22901
Ogre Sentry,2.0,R,Creature — Ogre Warrior,common,3,3,Defender,draft_innovation,8,2016,True,False,1,True,False,2350,22805
Ghostly Wings,2.0,U,Enchantment — Aura,common,,,Enchant,expansion,125,2016,True,False,1,False,False,2490,16512
Marchesa's Emissary,4.0,U,Creature — Human Rogue,common,2,2,"Hexproof,Dethrone",draft_innovation,213,2014,False,False,1,True,False,3162,20316
Murmuring Phantasm,2.0,U,Creature — Spirit,common,0,5,Defender,draft_innovation,8,2020,True,False,1,True,False,929,10999
Koth's Courier,3.0,R,Creature — Human Rogue,common,2,3,"Landwalk,Forestwalk",expansion,90,2011,False,False,1,True,False,4380,21783
Dampen Thought,2.0,U,Instant — Arcane,common,,,"Mill,Splice",masters,203,2013,True,False,1,False,False,3526,16694
Guardians of Koilos,5.0,,Artifact Creature — Construct,common,4,4,,expansion,180,2018,False,False,0,True,False,1741,17007
Ancestral Vengeance,2.0,B,Enchantment — Aura,common,,,Enchant,expansion,148,2015,False,False,1,False,False,2931,18415
Nightsky Mimic,2.0,"B,W",Creature — Shapeshifter,common,2,1,,expansion,156,2008,False,False,2,True,False,5304,22574
Izzet Chronarch,5.0,"R,U",Creature — Human Wizard,common,2,2,,commander,116,2017,True,False,2,True,False,1986,9562
Scion of Stygia,3.0,U,Creature — Tiefling Shaman,common,2,1,Flash,expansion,237,2021,False,False,1,True,False,558,9644
Consuming Vortex,2.0,U,Instant — Arcane,common,,,Splice,expansion,215,2004,False,False,1,False,False,6697,15372
Shinen of Fury's Fire,3.0,R,Creature — Spirit,common,2,1,"Haste,Channel",expansion,98,2005,False,False,1,True,False,6452,22309
Looming Spires,0.0,R,Land,common,,,,expansion,172,2015,False,False,1,False,False,2679,9067
Decision Paralysis,4.0,U,Instant,common,,,,box,102,2019,True,False,1,False,False,1174,19257
Augury Raven,4.0,U,Creature — Bird,common,3,3,"Flying,Foretell",expansion,151,2021,False,False,1,True,False,726,13083
Setessan Starbreaker,4.0,G,Creature — Human Warrior,common,2,1,,expansion,78,2014,False,False,1,True,False,3281,23701
Scab-Clan Mauler,2.0,"G,R",Creature — Human Berserker,common,1,1,"Bloodthirst,Trample",expansion,134,2006,False,False,2,True,False,6207,20165
Reclaim,1.0,G,Instant,common,,,,core,59,2015,True,False,1,False,False,2756,2735
Khalni Heart Expedition,2.0,G,Enchantment,common,,,Landfall,draft_innovation,304,2020,True,False,1,False,False,803,1030
Rugged Highlands,0.0,"G,R",Land,common,,,,expansion,131,2023,True,False,2,False,False,-79,1144
Mind Sculpt,2.0,U,Sorcery,common,,,Mill,core,34,2014,True,False,1,False,False,3120,8294
Fangren Marauder,6.0,G,Creature — Beast,common,5,5,,expansion,87,2011,False,False,1,True,False,4380,5763
Saprazzan Raider,3.0,U,Creature — Merfolk,common,1,2,,expansion,69,1999,False,False,1,True,False,8521,24445
Alpine Meadow,0.0,"R,W",Snow Land — Mountain Plains,common,,,,expansion,67,2021,False,False,2,False,False,726,1652
Goblin Vandal,1.0,R,Creature — Goblin Rogue,common,1,1,,expansion,181,1997,False,False,1,True,False,9368,15352
Crash,3.0,R,Instant,common,,,,expansion,93,1999,False,False,1,False,False,8521,17449
Chaos Charm,1.0,R,Instant,common,,,,expansion,133,1996,False,False,1,False,False,9612,17142
Nest Robber,2.0,R,Creature — Dinosaur,common,2,1,Haste,expansion,5,2017,False,False,1,True,False,1951,16421
Priests of Norn,3.0,W,Creature — Phyrexian Cleric,common,1,4,"Vigilance,Infect",expansion,135,2011,False,False,1,True,False,4380,8943
Sandsteppe Scavenger,5.0,G,Creature — Dog Scout,common,2,2,Bolster,expansion,167,2015,False,False,1,True,False,2868,21030
Liberated Dwarf,1.0,R,Creature — Dwarf,common,1,1,,expansion,106,2002,False,False,1,True,False,7555,9228
Coal Golem,5.0,R,Artifact Creature — Golem,common,3,3,,masters,41,2009,True,False,1,True,False,4895,23536
Dutiful Return,4.0,B,Sorcery,common,,,,expansion,72,2015,True,False,1,False,False,2679,13745
Ember-Fist Zubera,2.0,R,Creature — Zubera Spirit,common,1,2,,expansion,109,2004,False,False,1,True,False,6697,20508
Guardian Naga // Banishing Coils,7.0,W,Creature — Naga // Instant — Adventure,common,5,6,Vigilance,draft_innovation,0,2022,False,False,1,True,False,236,9811
Scarab Feast,1.0,B,Instant,common,,,Cycling,expansion,106,2017,False,False,1,False,False,2105,12045
Silverbeak Griffin,2.0,W,Creature — Griffin,common,2,2,Flying,core,81,2018,False,False,1,True,False,1664,15648
Axgard Cavalry,2.0,R,Creature — Dwarf Berserker,common,2,2,,expansion,51,2021,False,False,1,True,False,726,5358
Utopia Vow,2.0,G,Enchantment — Aura,common,,,Enchant,masters,115,2021,True,False,1,False,False,684,14720
Basking Rootwalla,1.0,G,Creature — Lizard,common,1,1,Madness,masters,221,2018,True,False,1,True,False,1517,15333
Trokin High Guard,4.0,W,Creature — Human Knight,common,3,3,,starter,0,1998,False,False,1,True,False,8988,23752
Ekundu Cyclops,4.0,R,Creature — Cyclops,common,3,4,,expansion,71,1996,False,False,1,True,False,9612,23861
Vapor Snag,1.0,U,Instant,common,,,,masters,72,2015,True,False,1,False,False,2812,7864
Raze,1.0,R,Sorcery,common,,,,expansion,80,1998,False,False,1,False,False,8878,15121
Hissing Iguanar,3.0,R,Creature — Lizard,common,3,1,,masters,108,2022,True,False,1,True,False,208,7093
Crawling Filth,6.0,B,Creature — Spirit,common,2,2,"Fear,Soulshift",expansion,223,2005,False,False,1,True,False,6571,19754
Spike Worker,3.0,G,Creature — Spike,common,0,0,,expansion,153,1998,False,False,1,True,False,9102,21094
Skyknight Legionnaire,3.0,"R,W",Creature — Human Knight,common,2,2,"Flying,Haste",expansion,13,2018,True,False,2,True,False,1580,9321
Vicious Battlerager,4.0,B,Creature — Dwarf Barbarian,common,1,5,Spiked Retribution,draft_innovation,195,2022,False,False,1,True,False,236,9939
Weapon Surge,1.0,R,Instant,common,,,Overload,masters,224,2020,True,False,1,False,False,908,13287
Leyline Phantom,5.0,U,Creature — Illusion,common,5,5,,duel_deck,112,2014,True,False,1,True,False,3246,21467
Watchful Automaton,3.0,U,Artifact Creature — Construct,common,2,2,Scry,expansion,108,2017,False,False,1,True,False,2203,21522
Icatian Scout,1.0,W,Creature — Human Soldier Scout,common,1,1,,masters,63,2008,True,False,1,True,False,5245,21933
Riveteers Overlook,0.0,,Land,common,,,,expansion,209,2022,False,False,0,False,False,278,1314
Cemetery Gate,3.0,B,Creature — Wall,common,0,5,"Protection,Defender",expansion,60,1995,False,False,1,True,False,9985,18656
Destroy the Evidence,5.0,B,Sorcery,common,,,,expansion,154,2012,False,False,1,False,False,3771,15820
